Epoch 1: ,validation loss 0.02746488166809082, accuracy 0.344
Epoch 2: ,validation loss 0.024026091976165773, accuracy 0.4264
Epoch 3: ,validation loss 0.022680024433135985, accuracy 0.4616
Epoch 4: ,validation loss 0.021432508878707887, accuracy 0.52056
Epoch 5: ,validation loss 0.020805716314315797, accuracy 0.538
Epoch 6: ,validation loss 0.018972875962257385, accuracy 0.59696
Epoch 7: ,validation loss 0.01824114131450653, accuracy 0.59728
Epoch 8: ,validation loss 0.01795127950668335, accuracy 0.61104
Epoch 9: ,validation loss 0.016901257915496827, accuracy 0.61424
Epoch 10: ,validation loss 0.017062027134895325, accuracy 0.6008
Epoch 11: ,validation loss 0.017588741207122803, accuracy 0.60216
Epoch 12: ,validation loss 0.01673342333316803, accuracy 0.63192
Epoch 13: ,validation loss 0.014955187039375305, accuracy 0.67016
Epoch 14: ,validation loss 0.017368359627723692, accuracy 0.62392
Epoch 15: ,validation loss 0.015764442863464356, accuracy 0.66288
Epoch 16: ,validation loss 0.01915823311328888, accuracy 0.632
Epoch 17: ,validation loss 0.015699765655994416, accuracy 0.6936
Epoch 18: ,validation loss 0.01535943480014801, accuracy 0.6824
Epoch 19: ,validation loss 0.016688665928840638, accuracy 0.6656
Epoch 20: ,validation loss 0.018261393826007843, accuracy 0.6864
Epoch 21: ,validation loss 0.019215103297233582, accuracy 0.6656
Epoch 22: ,validation loss 0.02339430031299591, accuracy 0.656
Epoch 23: ,validation loss 0.01872192577838898, accuracy 0.70568
Epoch 24: ,validation loss 0.022322290530204774, accuracy 0.68912
Epoch 25: ,validation loss 0.016464261751174925, accuracy 0.70584
Epoch 26: ,validation loss 0.020992074213027952, accuracy 0.70944
Epoch 27: ,validation loss 0.023175941460132597, accuracy 0.70648
Epoch 28: ,validation loss 0.023991784353256225, accuracy 0.66872
Epoch 29: ,validation loss 0.02877126986503601, accuracy 0.7088
Epoch 30: ,validation loss 0.02272891776561737, accuracy 0.6964
Epoch 31: ,validation loss 0.03533421339035034, accuracy 0.70344
Epoch 32: ,validation loss 0.02799453375339508, accuracy 0.70352
Epoch 33: ,validation loss 0.030604841017723084, accuracy 0.71104
Epoch 34: ,validation loss 0.027406132984161377, accuracy 0.70664
Epoch 35: ,validation loss 0.045865431547164916, accuracy 0.7096
Epoch 36: ,validation loss 0.03535591302871704, accuracy 0.70168
Epoch 37: ,validation loss 0.019735082335472106, accuracy 0.6772
Epoch 38: ,validation loss 0.0224406010723114, accuracy 0.69976
Epoch 39: ,validation loss 0.02688188014984131, accuracy 0.70928
Epoch 40: ,validation loss 0.023052883052825927, accuracy 0.70808
Epoch 41: ,validation loss 0.02569272873401642, accuracy 0.7124
Epoch 42: ,validation loss 0.02915865831375122, accuracy 0.60416
Epoch 43: ,validation loss 0.04074507887840271, accuracy 0.69864
Epoch 44: ,validation loss 0.03423088764667511, accuracy 0.71664
Epoch 45: ,validation loss 0.027981344022750855, accuracy 0.70944
Epoch 46: ,validation loss 0.02573194568157196, accuracy 0.69696
Epoch 47: ,validation loss 0.04111100776195526, accuracy 0.66184
Epoch 48: ,validation loss 0.028356008701324462, accuracy 0.69256
Epoch 49: ,validation loss 0.028951926684379577, accuracy 0.70832
Epoch 50: ,validation loss 0.034483025822639464, accuracy 0.7128
Epoch 51: ,validation loss 0.0372945761013031, accuracy 0.71952
Epoch 52: ,validation loss 0.019612857189178465, accuracy 0.69488
Epoch 53: ,validation loss 0.033326785593032836, accuracy 0.69728
Epoch 54: ,validation loss 0.026898713326454163, accuracy 0.67432
Epoch 55: ,validation loss 0.03593510550260544, accuracy 0.716
Epoch 56: ,validation loss 0.05423999507427216, accuracy 0.70096
Epoch 57: ,validation loss 0.04756321719646454, accuracy 0.70544
Epoch 58: ,validation loss 0.055163585147857665, accuracy 0.66832
Epoch 59: ,validation loss 0.03586034646987915, accuracy 0.6984
Epoch 60: ,validation loss 0.030013264303207398, accuracy 0.6996
Epoch 61: ,validation loss 0.025024987149238585, accuracy 0.70272
Epoch 62: ,validation loss 0.03940859659910202, accuracy 0.7224
Epoch 63: ,validation loss 0.03310055303096771, accuracy 0.6748
Epoch 64: ,validation loss 0.03193860951423645, accuracy 0.69448
Epoch 65: ,validation loss 0.03862968715667724, accuracy 0.66696
Epoch 66: ,validation loss 0.044320124335289, accuracy 0.70816
Epoch 67: ,validation loss 0.056513175129890444, accuracy 0.69752
Epoch 68: ,validation loss 0.04165293228626251, accuracy 0.7012
Epoch 69: ,validation loss 0.05385626194238663, accuracy 0.70608
Epoch 70: ,validation loss 0.04169195670127868, accuracy 0.6992
Epoch 71: ,validation loss 0.036690467200279235, accuracy 0.70216
Epoch 72: ,validation loss 0.030581545128822326, accuracy 0.71128
Epoch 73: ,validation loss 0.03042877227783203, accuracy 0.6976
Epoch 74: ,validation loss 0.05847258150100708, accuracy 0.698
Epoch 75: ,validation loss 0.03683352829933167, accuracy 0.69344
Epoch 76: ,validation loss 0.03805898781776428, accuracy 0.70984
Epoch 77: ,validation loss 0.034315751030445096, accuracy 0.69664
Epoch 78: ,validation loss 0.045680130195617674, accuracy 0.70808
Epoch 79: ,validation loss 0.03215036823272705, accuracy 0.68856
Epoch 80: ,validation loss 0.02955575180053711, accuracy 0.65968
Epoch 81: ,validation loss 0.03156841114997864, accuracy 0.66928
Epoch 82: ,validation loss 0.07701373957633972, accuracy 0.706
Epoch 83: ,validation loss 0.057990776562690735, accuracy 0.6992
Epoch 84: ,validation loss 0.07420697653770447, accuracy 0.61696
Epoch 85: ,validation loss 0.03163784477710724, accuracy 0.69544
Epoch 86: ,validation loss 0.03826850220680237, accuracy 0.69552
Epoch 87: ,validation loss 0.035595613112449645, accuracy 0.70416
Epoch 88: ,validation loss 0.04838297779083252, accuracy 0.69664
Epoch 89: ,validation loss 0.054730123105049135, accuracy 0.69952
Epoch 90: ,validation loss 0.048500764493942264, accuracy 0.67456
Epoch 91: ,validation loss 0.041789555087089536, accuracy 0.68432
Epoch 92: ,validation loss 0.03456778693675995, accuracy 0.66144
Epoch 93: ,validation loss 0.03709025827884674, accuracy 0.69528
Epoch 94: ,validation loss 0.05844115225315094, accuracy 0.70696
Epoch 95: ,validation loss 0.056335431509017944, accuracy 0.68296
Epoch 96: ,validation loss 0.048477466492652894, accuracy 0.70328
Epoch 97: ,validation loss 0.036584358615875244, accuracy 0.7004
Epoch 98: ,validation loss 0.07981514525413513, accuracy 0.66496
Epoch 99: ,validation loss 0.05669431600093842, accuracy 0.70528
Epoch 100: ,validation loss 0.04928680610656738, accuracy 0.69024
Epoch 101: ,validation loss 0.0304994687128067, accuracy 0.66984
Epoch 102: ,validation loss 0.061454400839805606, accuracy 0.68736
Epoch 103: ,validation loss 0.0641556684589386, accuracy 0.68672
Epoch 104: ,validation loss 0.08569693898200989, accuracy 0.7132
Epoch 105: ,validation loss 0.04489178319454193, accuracy 0.70408
Epoch 106: ,validation loss 0.06596372999668121, accuracy 0.71048
Epoch 107: ,validation loss 0.04102642234802246, accuracy 0.67592
Epoch 108: ,validation loss 0.09033422104358674, accuracy 0.65448
Epoch 109: ,validation loss 0.06842533328056336, accuracy 0.70688
Epoch 110: ,validation loss 0.05756611265182495, accuracy 0.70848
Epoch 111: ,validation loss 0.051489442586898804, accuracy 0.68816
Epoch 112: ,validation loss 0.042906870913505556, accuracy 0.68496
Epoch 113: ,validation loss 0.05429186909198761, accuracy 0.71136
Epoch 114: ,validation loss 0.05978043147563934, accuracy 0.71248
Epoch 115: ,validation loss 0.06897796362400055, accuracy 0.67816
Epoch 116: ,validation loss 0.05066678286552429, accuracy 0.69448
Epoch 117: ,validation loss 0.06271373103141785, accuracy 0.69328
Epoch 118: ,validation loss 0.09236446192741395, accuracy 0.64904
Epoch 119: ,validation loss 0.05557332995414734, accuracy 0.66688
Epoch 120: ,validation loss 0.043675898456573485, accuracy 0.69272
Epoch 121: ,validation loss 0.06107153031349182, accuracy 0.69688
Epoch 122: ,validation loss 0.043496646633148194, accuracy 0.67984
Epoch 123: ,validation loss 0.06712768602371216, accuracy 0.6788
Epoch 124: ,validation loss 0.06086260614395141, accuracy 0.64752
Epoch 125: ,validation loss 0.05814469618320465, accuracy 0.69272
Epoch 126: ,validation loss 0.09351932621955872, accuracy 0.70288
Epoch 127: ,validation loss 0.10224946273326874, accuracy 0.70472
Epoch 128: ,validation loss 0.0746176423406601, accuracy 0.70352
Epoch 129: ,validation loss 0.060297399678230286, accuracy 0.69272
Epoch 130: ,validation loss 0.058759237089157104, accuracy 0.654
Epoch 131: ,validation loss 0.07081611793518067, accuracy 0.69264
Epoch 132: ,validation loss 0.04655659056663513, accuracy 0.65824
Epoch 133: ,validation loss 0.06958736284732818, accuracy 0.69792
Epoch 134: ,validation loss 0.0608450076675415, accuracy 0.68864
Epoch 135: ,validation loss 0.07321581469058991, accuracy 0.70288
Epoch 136: ,validation loss 0.11019212914466858, accuracy 0.656
Epoch 137: ,validation loss 0.06339746888160705, accuracy 0.69272
Epoch 138: ,validation loss 0.07233282570838928, accuracy 0.66448
Epoch 139: ,validation loss 0.07400466106891632, accuracy 0.68168
Epoch 140: ,validation loss 0.08253334026813507, accuracy 0.70304
Epoch 141: ,validation loss 0.03342778331756592, accuracy 0.64832
Epoch 142: ,validation loss 0.06752095695495605, accuracy 0.66784
Epoch 143: ,validation loss 0.042908953928947446, accuracy 0.67672
Epoch 144: ,validation loss 0.08140016484737396, accuracy 0.69504
Epoch 145: ,validation loss 0.15940434641838075, accuracy 0.69864
Epoch 146: ,validation loss 0.050542790851593015, accuracy 0.6708
Epoch 147: ,validation loss 0.07145600929260254, accuracy 0.69848
Epoch 148: ,validation loss 0.07486143947601319, accuracy 0.70616
Epoch 149: ,validation loss 0.0771714787864685, accuracy 0.69056
Epoch 150: ,validation loss 0.08698395164489746, accuracy 0.69488
Epoch 151: ,validation loss 0.07401112969875336, accuracy 0.6992
Epoch 152: ,validation loss 0.08439873201847077, accuracy 0.70048
Epoch 153: ,validation loss 0.04657810788154602, accuracy 0.68672
Epoch 154: ,validation loss 0.09839382050514221, accuracy 0.70256
Epoch 155: ,validation loss 0.08740546276569366, accuracy 0.70104
Epoch 156: ,validation loss 0.06009780604362488, accuracy 0.66216
Epoch 157: ,validation loss 0.09129887279987335, accuracy 0.68384
Epoch 158: ,validation loss 0.0998247119808197, accuracy 0.70736
Epoch 159: ,validation loss 0.1444405353450775, accuracy 0.6876
Epoch 160: ,validation loss 0.10077131390094757, accuracy 0.67888
Epoch 161: ,validation loss 0.08205811920166016, accuracy 0.70104
Epoch 162: ,validation loss 0.04612686397075653, accuracy 0.65304
Epoch 163: ,validation loss 0.17079880625724791, accuracy 0.67872
Epoch 164: ,validation loss 0.07970753931045532, accuracy 0.70616
Epoch 165: ,validation loss 0.06387470191955566, accuracy 0.66728
Epoch 166: ,validation loss 0.08062367290496826, accuracy 0.6956
Epoch 167: ,validation loss 0.08151239194869996, accuracy 0.66768
Epoch 168: ,validation loss 0.07771847857475281, accuracy 0.6752
Epoch 169: ,validation loss 0.08930496895790101, accuracy 0.69808
Epoch 170: ,validation loss 0.11999686994075776, accuracy 0.66856
Epoch 171: ,validation loss 0.1032448432636261, accuracy 0.6708
Epoch 172: ,validation loss 0.059924406356811524, accuracy 0.6976
Epoch 173: ,validation loss 0.04902263750076294, accuracy 0.68656
Epoch 174: ,validation loss 0.05135328343391418, accuracy 0.69496
Epoch 175: ,validation loss 0.05045164604663849, accuracy 0.66896
Epoch 176: ,validation loss 0.08411151390552521, accuracy 0.67504
Epoch 177: ,validation loss 0.0639041300201416, accuracy 0.68528
Epoch 178: ,validation loss 0.057659139919281004, accuracy 0.64992
Epoch 179: ,validation loss 0.076109911942482, accuracy 0.67488
Epoch 180: ,validation loss 0.05379527982234955, accuracy 0.66976
Epoch 181: ,validation loss 0.07895131924152374, accuracy 0.70128
Epoch 182: ,validation loss 0.10221981019973755, accuracy 0.70296
Epoch 183: ,validation loss 0.11191142199516296, accuracy 0.6756
Epoch 184: ,validation loss 0.10011946730136871, accuracy 0.69664
Epoch 185: ,validation loss 0.09350889924049377, accuracy 0.68744
Epoch 186: ,validation loss 0.10127931468009949, accuracy 0.69144
Epoch 187: ,validation loss 0.10394574756622314, accuracy 0.6912
Epoch 188: ,validation loss 0.06075907150745392, accuracy 0.69656
Epoch 189: ,validation loss 0.13751111914634703, accuracy 0.64136
Epoch 190: ,validation loss 0.09945374645233154, accuracy 0.68096
Epoch 191: ,validation loss 0.11522646215438843, accuracy 0.6876
Epoch 192: ,validation loss 0.10419085692882538, accuracy 0.6748
Epoch 193: ,validation loss 0.1505580726337433, accuracy 0.68832
Epoch 194: ,validation loss 0.12413151967048645, accuracy 0.68696
Epoch 195: ,validation loss 0.10082203928470612, accuracy 0.6756
Epoch 196: ,validation loss 0.06871156827926636, accuracy 0.65464
Epoch 197: ,validation loss 0.07769719715118409, accuracy 0.69488
Epoch 198: ,validation loss 0.26432448812484743, accuracy 0.6692
Epoch 199: ,validation loss 0.1297477993297577, accuracy 0.67448
Epoch 200: ,validation loss 0.07028765788078307, accuracy 0.67776
Epoch 201: ,validation loss 0.054754198017120365, accuracy 0.682
Epoch 202: ,validation loss 0.1076230523300171, accuracy 0.68112
Epoch 203: ,validation loss 0.08477124680519103, accuracy 0.67704
Epoch 204: ,validation loss 0.0885445135307312, accuracy 0.68112
Epoch 205: ,validation loss 0.1376993058490753, accuracy 0.6864
Epoch 206: ,validation loss 0.11715797911643983, accuracy 0.68672
Epoch 207: ,validation loss 0.09280151274681091, accuracy 0.67864
Epoch 208: ,validation loss 0.12746871556282044, accuracy 0.65616
Epoch 209: ,validation loss 0.11106046007156373, accuracy 0.68608
Epoch 210: ,validation loss 0.058306220121383666, accuracy 0.65648
Epoch 211: ,validation loss 0.12202193500041962, accuracy 0.70048
Epoch 212: ,validation loss 0.08535401332855225, accuracy 0.66712
Epoch 213: ,validation loss 0.11350788258075714, accuracy 0.68208
Epoch 214: ,validation loss 0.16848196122169495, accuracy 0.70016
Epoch 215: ,validation loss 0.20467300820350648, accuracy 0.69368
Epoch 216: ,validation loss 0.044925337953567505, accuracy 0.6504
Epoch 217: ,validation loss 0.07346790100097657, accuracy 0.64072
Epoch 218: ,validation loss 0.284050747051239, accuracy 0.67992
Epoch 219: ,validation loss 0.10478330309867859, accuracy 0.65264
Epoch 220: ,validation loss 0.08152897349357605, accuracy 0.67856
Epoch 221: ,validation loss 0.08585974969863891, accuracy 0.69344
Epoch 222: ,validation loss 0.07409086540222168, accuracy 0.65648
Epoch 223: ,validation loss 0.14986747687339783, accuracy 0.65728
Epoch 224: ,validation loss 0.10520197937011719, accuracy 0.69408
Epoch 225: ,validation loss 0.08372206055641174, accuracy 0.65424
Epoch 226: ,validation loss 0.07839793862819672, accuracy 0.66824
Epoch 227: ,validation loss 0.13753058286190034, accuracy 0.69624
Epoch 228: ,validation loss 0.07298111147880554, accuracy 0.69056
Epoch 229: ,validation loss 0.18438427925109863, accuracy 0.70336
Epoch 230: ,validation loss 0.1189291113948822, accuracy 0.70392
Epoch 231: ,validation loss 0.09439332712173462, accuracy 0.67808
Epoch 232: ,validation loss 0.15511514305114746, accuracy 0.68168
Epoch 233: ,validation loss 0.08158629004478454, accuracy 0.6384
Epoch 234: ,validation loss 0.09768784674167633, accuracy 0.66376
Epoch 235: ,validation loss 0.21687143043518067, accuracy 0.69088
Epoch 236: ,validation loss 0.16998706917762757, accuracy 0.6748
Epoch 237: ,validation loss 0.06234087851524353, accuracy 0.6344
Epoch 238: ,validation loss 0.12049340740203858, accuracy 0.69016
Epoch 239: ,validation loss 0.17815405115127564, accuracy 0.65376
Epoch 240: ,validation loss 0.1299484081554413, accuracy 0.69352
Epoch 241: ,validation loss 0.1120616750049591, accuracy 0.6896
Epoch 242: ,validation loss 0.10181389174461365, accuracy 0.6536
Epoch 243: ,validation loss 0.2734704457950592, accuracy 0.69
Epoch 244: ,validation loss 0.14284199031829833, accuracy 0.67112
Epoch 245: ,validation loss 0.1384532041978836, accuracy 0.69768
Epoch 246: ,validation loss 0.13723300209999084, accuracy 0.68368
