Epoch 1: ,validation loss 0.010139092280890641, accuracy 0.6296818364881193
Epoch 2: ,validation loss 0.009425596344917473, accuracy 0.693717277486911
Epoch 3: ,validation loss 0.008470487400163243, accuracy 0.7470801449859041
Epoch 4: ,validation loss 0.008511355182023188, accuracy 0.7380185259766412
Epoch 5: ,validation loss 0.008332371537694037, accuracy 0.7505034232782923
Epoch 6: ,validation loss 0.008443343353713178, accuracy 0.7557390253725332
Epoch 7: ,validation loss 0.008134617387312245, accuracy 0.7484897301651229
Epoch 8: ,validation loss 0.00910601230504001, accuracy 0.7225130890052356
Epoch 9: ,validation loss 0.009103907040420483, accuracy 0.738824003221909
Epoch 10: ,validation loss 0.007724152119515934, accuracy 0.7720499395892066
Epoch 11: ,validation loss 0.008195803493585407, accuracy 0.765807490938381
Epoch 12: ,validation loss 0.007608979322283296, accuracy 0.7750704792589609
Epoch 13: ,validation loss 0.007976552428759446, accuracy 0.7762786951268627
Epoch 14: ,validation loss 0.008125824165881953, accuracy 0.7780910189287152
Epoch 15: ,validation loss 0.010061403213611209, accuracy 0.7690293999194523
Epoch 16: ,validation loss 0.007802612380399562, accuracy 0.7819170358437374
Epoch 17: ,validation loss 0.008213043014848612, accuracy 0.7267418445428917
Epoch 18: ,validation loss 0.008123930710196446, accuracy 0.7764800644381796
Epoch 19: ,validation loss 0.007672709356235776, accuracy 0.7712444623439387
Epoch 20: ,validation loss 0.008459172809839344, accuracy 0.7631896898912606
Epoch 21: ,validation loss 0.008757198002133886, accuracy 0.7589609343536046
Epoch 22: ,validation loss 0.00775899788784107, accuracy 0.7786951268626662
Epoch 23: ,validation loss 0.00837008763094175, accuracy 0.7446637132501007
Epoch 24: ,validation loss 0.007972994670001817, accuracy 0.7790978654853
Epoch 25: ,validation loss 0.00793109471717286, accuracy 0.7760773258155457
Epoch 26: ,validation loss 0.007862191477755217, accuracy 0.7776882803060814
Epoch 27: ,validation loss 0.008815645061334294, accuracy 0.7410390656463954
Epoch 28: ,validation loss 0.008843073514119493, accuracy 0.7704389850986709
Epoch 29: ,validation loss 0.008663429903782428, accuracy 0.7464760370519533
Epoch 30: ,validation loss 0.008821859325653979, accuracy 0.7730567861457914
Epoch 31: ,validation loss 0.010703649718435935, accuracy 0.7533225936367297
Epoch 32: ,validation loss 0.007530989261149784, accuracy 0.7750704792589609
Epoch 33: ,validation loss 0.010581662463556121, accuracy 0.7539267015706806
Epoch 34: ,validation loss 0.00887572273846072, accuracy 0.7660088602496979
Epoch 35: ,validation loss 0.009170506847178413, accuracy 0.7492952074103907
Epoch 36: ,validation loss 0.008797626658836008, accuracy 0.7682239226741845
Epoch 37: ,validation loss 0.010053481917154678, accuracy 0.7374144180426903
Epoch 38: ,validation loss 0.009190471612586161, accuracy 0.7718485702778897
Epoch 39: ,validation loss 0.00939155588143303, accuracy 0.779299234796617
Epoch 40: ,validation loss 0.0099841586546316, accuracy 0.779299234796617
Epoch 41: ,validation loss 0.010218140738556763, accuracy 0.7738622633910592
Epoch 42: ,validation loss 0.009878727502031668, accuracy 0.7579540877970198
Epoch 43: ,validation loss 0.009953364999938577, accuracy 0.7754732178815948
Epoch 44: ,validation loss 0.010912995105830594, accuracy 0.7776882803060814
Epoch 45: ,validation loss 0.015527914667916884, accuracy 0.7112364075714861
Epoch 46: ,validation loss 0.01017377619487933, accuracy 0.7664115988723319
Epoch 47: ,validation loss 0.010375453233478821, accuracy 0.7648006443817962
Epoch 48: ,validation loss 0.013128705685819487, accuracy 0.7406363270237616
Epoch 49: ,validation loss 0.011080324241724218, accuracy 0.7623842126459928
Epoch 50: ,validation loss 0.01745613038155805, accuracy 0.7511075312122433
Epoch 51: ,validation loss 0.012616646155396921, accuracy 0.7599677809101892
Epoch 52: ,validation loss 0.010948645020750708, accuracy 0.761377366089408
Epoch 53: ,validation loss 0.016135951251307658, accuracy 0.7333870318163512
Epoch 54: ,validation loss 0.016364729607292496, accuracy 0.756745871929118
Epoch 55: ,validation loss 0.017001568634952693, accuracy 0.7660088602496979
Epoch 56: ,validation loss 0.010907435400371729, accuracy 0.7688280306081353
Epoch 57: ,validation loss 0.012332822183807962, accuracy 0.7593636729762384
Epoch 58: ,validation loss 0.019431232601896293, accuracy 0.7599677809101892
Epoch 59: ,validation loss 0.020216153170185804, accuracy 0.7124446234393879
Epoch 60: ,validation loss 0.014477981838832399, accuracy 0.756745871929118
