    Epoch 1: ,validation loss 0.01593546709660141, accuracy 0.4782215796132297
    Epoch 2: ,validation loss 0.016530669125471284, accuracy 0.40683173685161755
    Epoch 3: ,validation loss 0.01581727283116859, accuracy 0.48093258630037955
    Epoch 4: ,validation loss 0.015543200257413538, accuracy 0.4590637990240376
    Epoch 5: ,validation loss 0.015726354773687064, accuracy 0.48436652810410263
    Epoch 6: ,validation loss 0.015897256565766203, accuracy 0.4742454364720766
    Epoch 7: ,validation loss 0.015633680625266072, accuracy 0.4832821254292427
    Epoch 8: ,validation loss 0.015335834868751855, accuracy 0.5107536598590277
    Epoch 9: ,validation loss 0.014758833758593597, accuracy 0.5338875835893728
    Epoch 10: ,validation loss 0.01551174245991544, accuracy 0.5156334718958974
    Epoch 11: ,validation loss 0.01624029322168656, accuracy 0.4431592264594253
    Epoch 12: ,validation loss 0.014197020284655124, accuracy 0.5553949033074281
    Epoch 13: ,validation loss 0.014759313191941821, accuracy 0.515994939454184
    Epoch 14: ,validation loss 0.014355170033022441, accuracy 0.547984818362552
    Epoch 15: ,validation loss 0.031580658215802505, accuracy 0.4196638351707934
    Epoch 16: ,validation loss 0.01444492714111615, accuracy 0.5387673956262425
    Epoch 17: ,validation loss 0.01419627225875165, accuracy 0.558105909994578
    Epoch 18: ,validation loss 0.014874951750681022, accuracy 0.510392192300741
    Epoch 19: ,validation loss 0.01400368927444232, accuracy 0.5609976504608711
    Epoch 20: ,validation loss 0.015240506929362766, accuracy 0.5009940357852882
    Epoch 21: ,validation loss 0.01939746860826121, accuracy 0.4343032712814025
    Epoch 22: ,validation loss 0.013863394666747936, accuracy 0.5651545273811676
    Epoch 23: ,validation loss 0.014194210840784014, accuracy 0.5644315922645943
    Epoch 24: ,validation loss 0.013778621618686954, accuracy 0.5714802096511838
    Epoch 25: ,validation loss 0.017247704685693102, accuracy 0.5150912705584674
    Epoch 26: ,validation loss 0.013984774123387809, accuracy 0.5532260979577083
    Epoch 27: ,validation loss 0.014113811758873197, accuracy 0.5107536598590277
    Epoch 28: ,validation loss 0.013395183753863869, accuracy 0.5830471715163564
    Epoch 29: ,validation loss 0.013732019803115952, accuracy 0.5875655159949394
    Epoch 30: ,validation loss 0.018483499646423825, accuracy 0.5387673956262425
    Epoch 31: ,validation loss 0.014965219607991808, accuracy 0.6157599855412976
