FL Paper Experiment | INFO flwr 2024-04-01 14:44:17,528 | main.py:26 | 
================================================================================
FedFaces - FedAvgM(accept_failures=True) - 25 clients - IID Distribution has started
================================================================================
FL Paper Experiment | INFO flwr 2024-04-01 14:44:17,531 | app.py:178 | Starting Flower simulation, config: ServerConfig(num_rounds=100, round_timeout=None)
FL Paper Experiment | INFO flwr 2024-04-01 14:44:20,215 | app.py:213 | Flower VCE: Ray initialized with resources: {'node:__internal_head__': 1.0, 'CPU': 12.0, 'node:172.18.144.40': 1.0, 'object_store_memory': 4390023168.0, 'memory': 8780046336.0}
FL Paper Experiment | INFO flwr 2024-04-01 14:44:20,216 | app.py:219 | Optimize your simulation with Flower VCE: https://flower.dev/docs/framework/how-to-run-simulations.html
FL Paper Experiment | INFO flwr 2024-04-01 14:44:20,216 | app.py:242 | Flower VCE: Resources for each Virtual Client: {'num_cpus': 10, 'num_gpus': 0, 'memory': 3221225472}
FL Paper Experiment | INFO flwr 2024-04-01 14:44:20,226 | app.py:288 | Flower VCE: Creating VirtualClientEngineActorPool with 1 actors
FL Paper Experiment | INFO flwr 2024-04-01 14:44:20,227 | server.py:89 | Initializing global parameters
FL Paper Experiment | INFO flwr 2024-04-01 14:44:20,227 | server.py:276 | Requesting initial parameters from one random client
FL Paper Experiment | INFO flwr 2024-04-01 14:44:23,263 | server.py:280 | Received initial parameters from one random client
FL Paper Experiment | INFO flwr 2024-04-01 14:44:23,264 | server.py:91 | Evaluating initial parameters
FL Paper Experiment | INFO flwr 2024-04-01 14:44:23,265 | server.py:104 | FL starting
FL Paper Experiment | DEBUG flwr 2024-04-01 14:44:23,265 | server.py:222 | fit_round 1: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 14:45:58,225 | server.py:236 | fit_round 1 received 18 results and 0 failures
FL Paper Experiment | WARNING flwr 2024-04-01 14:46:07,810 | fedavgm.py:198 | No fit_metrics_aggregation_fn provided
FL Paper Experiment | DEBUG flwr 2024-04-01 14:46:07,891 | server.py:173 | evaluate_round 1: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 14:46:24,190 | server.py:187 | evaluate_round 1 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 14:46:24,192 | server.py:222 | fit_round 2: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 14:48:11,793 | server.py:236 | fit_round 2 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 14:48:15,534 | server.py:173 | evaluate_round 2: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 14:48:33,069 | server.py:187 | evaluate_round 2 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 14:48:33,072 | server.py:222 | fit_round 3: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 14:50:19,422 | server.py:236 | fit_round 3 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 14:50:29,661 | server.py:173 | evaluate_round 3: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 14:50:48,930 | server.py:187 | evaluate_round 3 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 14:50:48,931 | server.py:222 | fit_round 4: strategy sampled 18 clients (out of 25)
