FL Paper Experiment | INFO flwr 2024-03-29 12:40:52,778 | main.py:26 | 
================================================================================
FedFaces - FedAvg(accept_failures=True) - 50 clients - IID Distribution has started
================================================================================
FL Paper Experiment | INFO flwr 2024-03-29 12:40:52,779 | app.py:178 | Starting Flower simulation, config: ServerConfig(num_rounds=100, round_timeout=None)
FL Paper Experiment | INFO flwr 2024-03-29 12:40:55,093 | app.py:213 | Flower VCE: Ray initialized with resources: {'CPU': 12.0, 'node:172.18.144.40': 1.0, 'node:__internal_head__': 1.0, 'object_store_memory': 4233891840.0, 'memory': 8467783680.0}
FL Paper Experiment | INFO flwr 2024-03-29 12:40:55,094 | app.py:219 | Optimize your simulation with Flower VCE: https://flower.dev/docs/framework/how-to-run-simulations.html
FL Paper Experiment | INFO flwr 2024-03-29 12:40:55,094 | app.py:242 | Flower VCE: Resources for each Virtual Client: {'num_cpus': 10, 'num_gpus': 0, 'memory': 3221225472}
FL Paper Experiment | INFO flwr 2024-03-29 12:40:55,101 | app.py:288 | Flower VCE: Creating VirtualClientEngineActorPool with 1 actors
FL Paper Experiment | INFO flwr 2024-03-29 12:40:55,102 | server.py:89 | Initializing global parameters
FL Paper Experiment | INFO flwr 2024-03-29 12:40:55,102 | server.py:272 | Using initial parameters provided by strategy
FL Paper Experiment | INFO flwr 2024-03-29 12:40:55,102 | server.py:91 | Evaluating initial parameters
FL Paper Experiment | INFO flwr 2024-03-29 12:40:55,103 | server.py:104 | FL starting
FL Paper Experiment | DEBUG flwr 2024-03-29 12:40:55,103 | server.py:222 | fit_round 1: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 12:41:52,241 | server.py:236 | fit_round 1 received 20 results and 0 failures
FL Paper Experiment | WARNING flwr 2024-03-29 12:41:54,160 | fedavg.py:250 | No fit_metrics_aggregation_fn provided
FL Paper Experiment | DEBUG flwr 2024-03-29 12:41:54,162 | server.py:173 | evaluate_round 1: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 12:42:05,177 | server.py:187 | evaluate_round 1 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 12:42:05,177 | server.py:222 | fit_round 2: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 12:42:57,830 | server.py:236 | fit_round 2 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 12:42:59,434 | server.py:173 | evaluate_round 2: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 12:43:10,298 | server.py:187 | evaluate_round 2 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 12:43:10,298 | server.py:222 | fit_round 3: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 12:44:04,292 | server.py:236 | fit_round 3 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 12:44:05,719 | server.py:173 | evaluate_round 3: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 12:44:16,879 | server.py:187 | evaluate_round 3 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 12:44:16,880 | server.py:222 | fit_round 4: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 12:45:11,685 | server.py:236 | fit_round 4 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 12:45:13,076 | server.py:173 | evaluate_round 4: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 12:45:24,102 | server.py:187 | evaluate_round 4 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 12:45:24,103 | server.py:222 | fit_round 5: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 12:46:19,698 | server.py:236 | fit_round 5 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 12:46:21,300 | server.py:173 | evaluate_round 5: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 12:46:32,458 | server.py:187 | evaluate_round 5 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 12:46:32,458 | server.py:222 | fit_round 6: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 12:47:27,023 | server.py:236 | fit_round 6 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 12:47:28,485 | server.py:173 | evaluate_round 6: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 12:47:39,369 | server.py:187 | evaluate_round 6 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 12:47:39,369 | server.py:222 | fit_round 7: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 12:48:34,657 | server.py:236 | fit_round 7 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 12:48:36,311 | server.py:173 | evaluate_round 7: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 12:48:47,159 | server.py:187 | evaluate_round 7 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 12:48:47,161 | server.py:222 | fit_round 8: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 12:49:42,449 | server.py:236 | fit_round 8 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 12:49:43,955 | server.py:173 | evaluate_round 8: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 12:49:54,749 | server.py:187 | evaluate_round 8 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 12:49:54,749 | server.py:222 | fit_round 9: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 12:50:50,315 | server.py:236 | fit_round 9 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 12:50:51,653 | server.py:173 | evaluate_round 9: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 12:51:02,713 | server.py:187 | evaluate_round 9 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 12:51:02,714 | server.py:222 | fit_round 10: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 12:51:57,965 | server.py:236 | fit_round 10 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 12:51:59,291 | server.py:173 | evaluate_round 10: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 12:52:10,003 | server.py:187 | evaluate_round 10 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 12:52:10,004 | server.py:222 | fit_round 11: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 12:53:05,481 | server.py:236 | fit_round 11 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 12:53:06,824 | server.py:173 | evaluate_round 11: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 12:53:17,583 | server.py:187 | evaluate_round 11 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 12:53:17,583 | server.py:222 | fit_round 12: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 12:54:13,640 | server.py:236 | fit_round 12 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 12:54:14,937 | server.py:173 | evaluate_round 12: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 12:54:25,710 | server.py:187 | evaluate_round 12 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 12:54:25,711 | server.py:222 | fit_round 13: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 12:55:21,357 | server.py:236 | fit_round 13 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 12:55:22,654 | server.py:173 | evaluate_round 13: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 12:55:33,472 | server.py:187 | evaluate_round 13 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 12:55:33,473 | server.py:222 | fit_round 14: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 12:56:31,468 | server.py:236 | fit_round 14 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 12:56:32,827 | server.py:173 | evaluate_round 14: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 12:56:43,556 | server.py:187 | evaluate_round 14 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 12:56:43,557 | server.py:222 | fit_round 15: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 12:57:39,134 | server.py:236 | fit_round 15 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 12:57:40,510 | server.py:173 | evaluate_round 15: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 12:57:51,256 | server.py:187 | evaluate_round 15 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 12:57:51,257 | server.py:222 | fit_round 16: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 12:58:47,416 | server.py:236 | fit_round 16 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 12:58:48,858 | server.py:173 | evaluate_round 16: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 12:58:59,692 | server.py:187 | evaluate_round 16 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 12:58:59,693 | server.py:222 | fit_round 17: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 12:59:55,500 | server.py:236 | fit_round 17 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 12:59:56,852 | server.py:173 | evaluate_round 17: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:00:07,765 | server.py:187 | evaluate_round 17 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:00:07,765 | server.py:222 | fit_round 18: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:01:03,444 | server.py:236 | fit_round 18 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:01:04,880 | server.py:173 | evaluate_round 18: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:01:15,565 | server.py:187 | evaluate_round 18 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:01:15,565 | server.py:222 | fit_round 19: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:02:11,051 | server.py:236 | fit_round 19 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:02:12,415 | server.py:173 | evaluate_round 19: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:02:23,337 | server.py:187 | evaluate_round 19 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:02:23,337 | server.py:222 | fit_round 20: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:03:18,932 | server.py:236 | fit_round 20 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:03:20,399 | server.py:173 | evaluate_round 20: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:03:31,182 | server.py:187 | evaluate_round 20 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:03:31,183 | server.py:222 | fit_round 21: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:04:27,033 | server.py:236 | fit_round 21 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:04:28,475 | server.py:173 | evaluate_round 21: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:04:39,214 | server.py:187 | evaluate_round 21 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:04:39,215 | server.py:222 | fit_round 22: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:05:34,718 | server.py:236 | fit_round 22 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:05:36,080 | server.py:173 | evaluate_round 22: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:05:46,842 | server.py:187 | evaluate_round 22 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:05:46,843 | server.py:222 | fit_round 23: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:06:42,130 | server.py:236 | fit_round 23 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:06:43,581 | server.py:173 | evaluate_round 23: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:06:54,323 | server.py:187 | evaluate_round 23 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:06:54,324 | server.py:222 | fit_round 24: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:07:49,802 | server.py:236 | fit_round 24 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:07:51,071 | server.py:173 | evaluate_round 24: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:08:01,846 | server.py:187 | evaluate_round 24 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:08:01,846 | server.py:222 | fit_round 25: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:08:56,923 | server.py:236 | fit_round 25 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:08:58,303 | server.py:173 | evaluate_round 25: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:09:08,944 | server.py:187 | evaluate_round 25 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:09:08,945 | server.py:222 | fit_round 26: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:10:04,509 | server.py:236 | fit_round 26 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:10:05,795 | server.py:173 | evaluate_round 26: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:10:16,448 | server.py:187 | evaluate_round 26 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:10:16,449 | server.py:222 | fit_round 27: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:11:12,164 | server.py:236 | fit_round 27 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:11:13,592 | server.py:173 | evaluate_round 27: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:11:24,331 | server.py:187 | evaluate_round 27 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:11:24,332 | server.py:222 | fit_round 28: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:12:21,788 | server.py:236 | fit_round 28 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:12:23,175 | server.py:173 | evaluate_round 28: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:12:33,849 | server.py:187 | evaluate_round 28 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:12:33,850 | server.py:222 | fit_round 29: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:13:29,020 | server.py:236 | fit_round 29 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:13:30,361 | server.py:173 | evaluate_round 29: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:13:41,122 | server.py:187 | evaluate_round 29 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:13:41,122 | server.py:222 | fit_round 30: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:14:36,636 | server.py:236 | fit_round 30 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:14:37,937 | server.py:173 | evaluate_round 30: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:14:48,721 | server.py:187 | evaluate_round 30 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:14:48,722 | server.py:222 | fit_round 31: strategy sampled 20 clients (out of 50)
